real,omr,sens,spec,F1,rating
beet27_1.mid,IMSLP00027_beet27_1.mid,0.9218428630193336,0.8504743833017078,0.8847216739044611,72.0
beet27_1.mid,IMSLP51799_beet27_1.mid,0.7410161090458488,0.35776248878253064,0.48254992939277785,67.0
beet27_1.mid,IMSLP05553_beet27_1.mid,0.9064191802010828,0.8895635673624288,0.8979122773415056,69.0
beet27_1.mid,IMSLP66416_beet27_1.mid,0.9303721488595438,0.8823529411764706,0.905726529022205,65.0
beet27_1.mid,IMSLP04090_beet27_1.mid,0.8963531669865643,0.7041085563513004,0.7886848216170572,23.0
beet23_2.mid,IMSLP04078_beet23_2.mid,0.6205305651672434,0.3605898123324397,0.45612547689699023,61.0
beet23_2.mid,IMSLP51795_beet23_2.mid,0.7712574850299401,0.4316353887399464,0.5535023635582295,66.0
beet23_2.mid,IMSLP03184_beet23_2.mid,0.14778856526429343,0.0918230563002681,0.11326994625878463,61.0
beet1_4.mid,IMSLP77993_beet1_4.mid,0.7794822627037392,0.5194888178913738,0.6234662576687116,55.0
beet1_4.mid,IMSLP66390_beet1_4.mid,0.9643782383419689,0.9517417705337169,0.9580183368184011,63.0
beet1_4.mid,IMSLP51707_beet1_4.mid,0.46965959546127284,0.3033779477374124,0.36863504356243953,59.0
beet1_4.mid,IMSLP66279_beet1_4.mid,0.8445896877269427,0.7328292375551355,0.7847503373819162,53.0
beet1_4.mid,IMSLP243106_beet1_4.mid,0.8238317757009346,0.563258785942492,0.6690702087286527,72.0
beet1_4.mid,IMSLP05524_beet1_4.mid,0.31777557100297915,0.30670926517571884,0.3121443667696309,75.0
beet1_4.mid,IMSLP00001_beet1_4.mid,0.9444803098773402,0.9303656597774245,0.9373698542367451,74.0
beet1_4.mid,IMSLP03796_beet1_4.mid,0.8204237582493922,0.7555982085732565,0.7866777685262281,45.0
beet25_2.mid,IMSLP00025_beet25_2.mid,0.9052478134110787,0.7772215269086358,0.8363636363636364,71.0
beet25_2.mid,IMSLP66414_beet25_2.mid,0.9937027707808564,0.9874843554443054,0.9905838041431263,68.0
beet25_2.mid,IMSLP05551_beet25_2.mid,0.9583333333333334,0.9499374217772215,0.9541169076052798,53.0
beet25_2.mid,IMSLP04081_beet25_2.mid,0.8926654740608229,0.6245306633291614,0.7349042709867452,40.0
beet25_2.mid,IMSLP69588_beet25_2.mid,0.9124487004103967,0.8347934918648311,0.8718954248366014,87.0
beet25_2.mid,IMSLP51797_beet25_2.mid,0.9297912713472486,0.6132665832290363,0.7390648567119155,69.0
beet5_1.mid,IMSLP68715_beet5_1.mid,0.6460176991150443,0.7293054234062797,0.6851396648044692,65.0
beet5_1.mid,IMSLP51714_beet5_1.mid,0.9268795056642637,0.7846556233653008,0.8498583569405099,64.0
beet5_1.mid,IMSLP03858_beet5_1.mid,0.8789978678038379,0.7502274795268425,0.8095238095238094,49.0
beet5_1.mid,IMSLP00005_beet5_1.mid,0.9416130628401781,0.9087870105062082,0.9249088699878493,63.0
beet5_1.mid,IMSLP243114_beet5_1.mid,0.9588497768963807,0.8610863757791629,0.9073422472437251,68.0
beet5_1.mid,IMSLP66394_beet5_1.mid,0.9755610972568578,0.952288218111003,0.9637841832963784,63.0
beet5_1.mid,IMSLP02412_beet5_1.mid,0.11120331950207468,0.06288127639605819,0.0803357314148681,65.0
beet27_2.mid,IMSLP66416_beet27_2.mid,0.29435792698493746,0.28582052553296977,0.29002641177210414,65.0
beet27_2.mid,IMSLP05553_beet27_2.mid,0.2791891198357711,0.2697074863658899,0.27436641028874037,69.0
beet27_2.mid,IMSLP69590_beet27_2.mid,0.5292763998977243,0.4918032786885246,0.5098522167487685,60.0
beet27_2.mid,IMSLP51799_beet27_2.mid,0.22972463221425876,0.1423229726571629,0.17575757575757578,67.0
beet27_2.mid,IMSLP00027_beet27_2.mid,0.27747180697613427,0.26227069905800693,0.26965719383203773,72.0
beet27_2.mid,IMSLP04090_beet27_2.mid,0.25060996863018475,0.1786779324055666,0.20861743798056,23.0
