doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP66279,0,ks,,,,,,,,
IMSLP66279,0,m,,,,,,,,
IMSLP66279,1,ks,,,,,,,,
IMSLP66279,1,m,,,,,,,,
IMSLP66279,2,ks,0.004971171076306352,0.07644103406009048,1.355594907009173,0.06388726989860341,2.261906371322337,1.5120212475465151,31.822766,0.07098793057732822
IMSLP66279,3,ks,0.007143108195453178,0.03272360389618116,1.5185965873988967,0.01152381381192141,2.0084238011515847,1.5699885376356628,31.871886,0.0547636639509923
IMSLP66279,4,ks,-0.051639783386028815,0.074149448125957,3.583751604276544,0.09832184449694013,2.081723736962563,1.324265892956841,30.674985,0.08345805071242407
IMSLP66279,5,ks,0.0774443361760374,0.05122984979602263,1.8861326839680723,0.04134524101230613,2.307985657585898,1.9891973998615167,31.003736,0.09565330815875861
IMSLP66279,6,ks,-0.03465950200186864,0.039241037211359964,4.763340932799364,0.08022674414753429,1.0245954020632984,1.8134629801173776,31.097981,0.08855828839144048
IMSLP66279,7,ks,-0.031020650744343237,0.04352509932708984,3.8768487612228917,0.014886798952096228,2.608138507024284,1.659696857664386,30.96635,0.0727415617786214
IMSLP66279,8,ks,0.005972565578884346,0.044314777803956276,3.4029706887603544,0.019671891086789836,0.9823997525350971,1.6286409105784494,29.876439,0.08755242185323231
IMSLP66279,9,ks,0.10517127638856832,0.05646135020338065,3.825894300769681,0.031108050116768066,1.5916942871727078,1.5521017378373134,31.154175,0.08076200526646549
IMSLP66279,10,ks,-0.006429113935722292,0.08495905028610494,3.3556442665290374,0.03513920850733224,1.7170545611647163,2.522829676618622,30.003213,0.08805410754231657
IMSLP66279,11,ks,-0.007215880363180526,0.11334314695168911,3.050120669767442,0.03515571246898905,2.9151760119676906,0.7763063459416921,30.223135,0.035005082663410236
IMSLP66279,12,ks,-0.1551062139475503,0.029561767688735995,3.9786805031551715,0.21126205217099778,4.4454948670653565,1.9710034664134737,31.575914,0.0744571881213022
IMSLP66279,13,ks,-0.00920684644221343,0.11006488495954972,3.7640642939105633,0.12152511027330809,0.9085312078425622,2.4075885997510325,31.267945,0.053105346843400625
IMSLP66279,14,ks,-0.00017698156105879978,0.1109349374975088,2.067575830871453,0.07579022835312385,2.067942977301652,1.6683253791980897,29.894894,0.08100167559268784
IMSLP66279,15,ks,0.0031450097957854486,0.04262900894741409,1.6892242683909418,0.12082653556948644,2.9510757257884883,1.606421536898024,29.8862,0.11262768251819624
IMSLP66279,16,ks,-0.22624043450696965,0.1316189352135686,2.0732881651254935,0.04537064385046006,0.0720421169950134,0.6915173522203495,29.766593,0.08745182280737823
IMSLP66279,17,ks,0.012789714985556058,0.02690835366729772,2.280707512932006,0.08651732455620992,0.9998321400199632,1.5515159961104419,31.06669,0.08124221248682731
IMSLP66279,18,ks,0.00929149095209716,0.027502273698976995,1.0409889957066754,0.024318727084855288,2.4778646011225662,2.013473603661969,30.32447,0.06474790310809407
IMSLP66279,19,ks,-0.015334247256488603,0.0544029112900266,3.951999325352762,0.0777851302001129,1.062130993305491,0.7569519288064903,30.812681,0.058614497522171405
IMSLP66279,20,ks,0.005275630823042155,0.07682955289234439,2.120075216665384,0.04013912702444844,3.590737768560073,1.9362737577134617,31.699975,0.050218065878902374
IMSLP66279,21,ks,-0.03514660467256515,0.07533944690213629,4.200658397437356,0.046004512077290324,2.889232158226095,1.508864787155551,30.983373,0.06343244691466637
IMSLP66279,22,ks,0.005102711724921926,0.061730399601828176,3.3672880932430624,0.06206703374588224,0.8823687282963315,2.03044029865836,31.270425,0.04805973347003378
