doc,page,fn,nu,a0,a,b0,b,k,time,fun
IMSLP69590-PMLP01484-Opus_90,0,ks,,,,,,,,
IMSLP69590-PMLP01484-Opus_90,0,m,,,,,,,,
IMSLP69590-PMLP01484-Opus_90,1,ks,,,,,,,,
IMSLP69590-PMLP01484-Opus_90,1,m,,,,,,,,
IMSLP69590-PMLP01484-Opus_90,2,ks,-0.02443560608534051,0.12783060349193778,1.682462279190172,0.13833347265447177,0.9680376288707495,1.895441960641834,42.535365,44.488844612325906
IMSLP69590-PMLP01484-Opus_90,2,m,-0.004265053014150984,0.07686933740209359,2.7742969116910117,0.124671213945097,3.275154663367827,0.02147659799260468,42.952447,12.913480602375827
IMSLP69590-PMLP01484-Opus_90,3,ks,0.05686658950939704,0.09100792958013987,3.145385420339043,0.07954824610264252,3.246251087726967,1.5340644369670482,42.778057,97.27509356609262
IMSLP69590-PMLP01484-Opus_90,3,m,0.013960752173443964,0.0415589028282574,2.0008995865728236,0.07986267515316059,1.2884384877123818,0.031629089039902046,42.951476,70.2339923305855
IMSLP69590-PMLP01484-Opus_90,4,ks,-0.008007736068234215,0.03020849088883465,1.38972104865429,0.033544205172757594,5.1171981631974255,0.8177492057878766,42.562643,33.572147087715756
IMSLP69590-PMLP01484-Opus_90,4,m,-0.010319507447727307,0.020546256665460005,4.04088780333727,0.013429592429345688,1.3886515904620147,0.4663814169827769,43.034657,12.041567163654378
IMSLP69590-PMLP01484-Opus_90,5,ks,-0.007392879526320237,0.025560022343523718,2.992123188262813,0.10584188871710665,0.8187006054991259,0.6405053148814128,43.067426,32.51468962299329
IMSLP69590-PMLP01484-Opus_90,5,m,-0.008104489943205794,0.09069641599839375,3.383193084372815,0.09832195693441775,2.2378216646405686,1.473572353508462,43.758178,32.023186305689435
IMSLP69590-PMLP01484-Opus_90,6,ks,-0.0020275450662292707,0.086106195003011,3.5345081738536406,0.09048977704942633,2.9293625459901556,0.5595896553069566,42.47852,32.971676473226644
IMSLP69590-PMLP01484-Opus_90,6,m,-0.014844494262339029,0.13890996475514922,5.437146312894123,0.022931642616963385,1.526486851755683,0.0952483996487456,41.599737,12.614300666814179
IMSLP69590-PMLP01484-Opus_90,7,ks,0.0004447417781497879,0.03453653572225452,3.37712133170655,0.10786695932818924,3.937475769994843,0.015820781169037235,43.310243,11.942742322409226
IMSLP69590-PMLP01484-Opus_90,7,m,-0.003052670598252417,0.025450885969016235,2.285929711215691,0.06777277499510234,2.2189886440988498,0.16907568005691054,41.869724,11.787899357658041
IMSLP69590-PMLP01484-Opus_90,8,ks,-0.0070260075812596,0.11689641976723386,2.7482331163318534,0.11080124171985192,4.339056258406334,1.1360996326447426,43.377226,33.458160202799874
IMSLP69590-PMLP01484-Opus_90,8,m,-0.014475640276873251,0.03418964158431111,1.7151949341289596,0.021815855728772093,1.8537071155654308,0.020247449323930626,43.871719,12.32662981850096
IMSLP69590-PMLP01484-Opus_90,9,ks,-0.009822117260444532,0.12448990835874676,2.9048621820832716,0.12649837829048732,3.208280972539951,2.4039296128013055,44.906503,44.69851309129365
IMSLP69590-PMLP01484-Opus_90,9,m,0.04716063074670809,0.05271184982677016,1.8473817331550388,0.051475924111607334,3.2947665054702444,1.7686507859558784,43.423459,95.4679583260505
IMSLP69590-PMLP01484-Opus_90,10,ks,-0.006218003784947584,0.0737117356838196,1.3595045525098155,0.1070630153153245,2.205648931757385,1.2259789444711817,43.315332,34.196130068963704
IMSLP69590-PMLP01484-Opus_90,10,m,0.04234615110682671,0.06470091892449681,0.9849204188862184,0.04599584311620129,0.7143721667497176,1.928604662918231,43.270102,94.59308993826345
IMSLP69590-PMLP01484-Opus_90,11,ks,0.014971090683054553,0.06355874335905602,2.814352279294691,0.04825963009507168,1.3239298843021967,0.40280218452227384,43.080033,72.86954284859388
